title,link,authors,publication
Applications to timetabling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:DQNrXyjhriIC,"E Burke, D De Werra, J Kingston","Handbook of graph theory, 445-474, 2004"
University Timetabling.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:bnK-pcrLprsC,"S Petrovic, EK Burke","Handbook of scheduling, 2004"
Hybrid variable neighbourhood approaches to university exam timetabling,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:fEOibwPWpKIC,"EK Burke, AJ Eckersley, B McCollum, S Petrovic, R Qu","European Journal of Operational Research 206 (1), 46-53, 2010"
A university timetabling system based on graph colouring and constraint manipulation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:eMMeJKvmdy0C,"EK Burke, DG Elliman, R Weare","Journal of research on computing in education 27 (1), 1-18, 1994"
A hybrid genetic algorithm for highly constrained timetabling problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:J-pR_7NvFogC,"R Weare, E Burke, D Elliman","Department of Computer Science, 1995"
Machine learning in virtual screening,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:kuK5TVdYjLIC,"JL Melville, EK Burke, JD Hirst","Combinatorial chemistry & high throughput screening 12 (4), 332-343, 2009"
A late acceptance strategy in hill-climbing for exam timetabling problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:HbR8gkJAVGIC,"EK Burke, Y Bykov","PATAT 2008 Conference, Montreal, Canada, 1-7, 2008"
Complete and robust no-fit polygon generation for the irregular stock cutting problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:evX43VCCuoAC,"EK Burke, RSR Hellier, G Kendall, G Whitwell","European Journal of Operational Research 179 (1), 27-49, 2007"
Hyflex: A benchmark framework for cross-domain heuristic search,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:p2g8aNsByqUC,"G Ochoa, M Hyde, T Curtois, JA Vazquez-Rodriguez, J Walker, ...","European Conference on Evolutionary Computation in Combinatorial …, 2012"
A simulated annealing based hyperheuristic for determining shipper sizes for storage and transportation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=rUHfmpQAAAAJ&pagesize=100&citation_for_view=rUHfmpQAAAAJ:5awf1xo2G04C,"KA Dowsland, E Soubeiga, E Burke","European Journal of Operational Research 179 (3), 759-774, 2007"
