title,link,authors,publication
A novel multi-parent order crossover in genetic algorithm for combinatorial optimization problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:1yQoGdGgb4wC,"A Arram, M Ayob","Computers & Industrial Engineering 133, 267-274, 2019"
A firework algorithm for solving capacitated vehicle routing problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:ldfaerwXgEUC,"NH Abdulmajeed, M Ayob","International Journal of Advancements in Computing Technology 6 (1), 79, 2014"
A hybrid simulated annealing with solutions memory for curriculum-based course timetabling problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:Wp0gIr-vW9MC,"Z Ahmad, HY Tarawneh, M Ayob","J. Appl. Sci. 13 (2), 262-269, 2013"
An exploration study of nurse rostering practice at hospital Universiti Kebangsaan Malaysia,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:roLk4NBRz8UC,"M Hadwan, MB Ayob","2009 2nd Conference on Data Mining and Optimization, 100-107, 2009"
A nozzle selection heuristic to optimise the hybrid pick and place machine,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:ufrVoPGSRksC,"M Ayob, G Kendall","IEEE Conference on Cybernetics and Intelligent Systems, 2004. 2, 1260-1265, 2004"
Genetic algorithm based on natural selection theory for optimization problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:_Re3VWB3Y0AC,"MA Albadr, S Tiun, M Ayob, F Al-Dhief","Symmetry 12 (11), 1758, 2020"
Intelligent examination timetabling software,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:7PzlFSSx8tAC,"M Ayob, AR Hamdan, S Abdullah, Z Othman, MZA Nazri, K Abd Razak, ...","Procedia-Social and Behavioral Sciences 18, 600-608, 2011"
A new model for an examination-room assignment problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:L8Ckcad2t8MC,"M Ayob, A Malik","International Journal of Computer Science and Network Security 11 (10), 187-190, 2011"
An investigation of an adaptive scheduling approach for multi-head placement machines,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:_FxGoFyzp5QC,"M Ayob, G Kendall","Proceedings of the 1st Multidisciplinary International Conference on …, 2003"
Optimised genetic algorithm-extreme learning machine approach for automatic COVID-19 detection,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:35r97b3x0nAC,"MAA Albadr, S Tiun, M Ayob, FT Al-Dhief, K Omar, FA Hamzah","PloS one 15 (12), e0242899, 2020"
Enhanced harmony search algorithm for nurse rostering problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:IWHjjKOFINEC,"M Ayob, M Hadwan, MZ Ahmad Nazr, Z Ahmad","Journal of Applied Sciences 13 (6), 846-853, 2013"
An improved adaptive memetic differential evolution optimization algorithms for data clustering problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:PR6Y55bgFSsC,"HMJ Mustafa, M Ayob, MZA Nazri, G Kendall","PloS one 14 (5), e0216906, 2019"
Challenges in multi-layer data security for video steganography revisited,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:WqliGbK-hY8C,"S Kamil, M Ayob, SNH Sheikhabdullah, Z Ahmad","Asia-Pacific J. Inf. Technol. Multimed 7 (2-2), 53-62, 2018"
Greedy constructive heuristic and local search algorithm for solving nurse rostering problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:mB3voiENLucC,"RA Abobaker, M Ayob, M Hadwan","2011 3rd Conference on Data Mining and Optimization (DMO), 194-198, 2011"
Hybridization Multi-NeighbourhoodParticle Collision Algorithm and Great Deluge for solving course timetabling problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:hqOjcs7Dif8C,"A Abuhamdah, M Ayob","2009 2nd Conference on Data Mining and Optimization, 108-114, 2009"
Optimisation of surface mount device placement machine in printed circuit board assembly,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:MXK_kJrjxJIC,M Ayob,"University of Nottingham, 2005"
Comparative study of meta-heuristic approaches for solving traveling salesman problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:J_g5lzvAfSwC,"A Arram, M Ayob, M Zakree","Asian Journal of Applied Sciences 7 (7), 662-670, 2014"
Iterated two-stage multi-neighbourhood tabu search approach for examination timetabling problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:4DMP91E08xMC,"AM Ab Malik, M Ayob, AR Hamdan","2009 2nd Conference on Data Mining and Optimization, 141-148, 2009"
Experimental result of particle collision algorithm for solving course timetabling problems,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:M3ejUd6NZC8C,"A Abuhamdah, M Ayob","International Journal of Computer Science and Network Security 9 (9), 134-142, 2009"
A Recent Trend in Individual Counting Approach Using Deep Network.,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:hkOj_22Ku90C,"A Ghazvini, SNHS Abdullah, M Ayob","International Journal of Interactive Multimedia & Artificial Intelligence 5 (5), 2019"
An adaptive guided variable neighborhood search based on honey-bee mating optimization algorithm for the course timetabling problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:nb7KW1ujOQ8C,"RA Aziz, M Ayob, Z Othman, Z Ahmad, NR Sabar","Soft Computing 21 (22), 6755-6765, 2017"
An iterative re-start variable neighbourhood search for the examination timetabling problem,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:4TOpqqG69KYC,"M Ayob, EK Burke, G Kendall","Practice and Theory of Automated Timetabling. LNCS 1153, 336-344, 2006"
Optimized data hiding in complemented or non-complemented form in video steganography,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=HRkZPK4AAAAJ&pagesize=100&citation_for_view=HRkZPK4AAAAJ:ye4kPcJQO24C,"S Kamil, M Ayob, SNHS Abdullah, Z Ahmad","2018 Cyber Resilience Conference (CRC), 1-4, 2018"
